会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL
株式会社フィナンシェ,八木田,"",pr@financie.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000320.000042665.html
ヤフー株式会社,"",03-6898-8282,ycompany-pr@mail.yahoo.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000256.000098822.html
株式会社アクアプラス,宛て,06-6836-9205,　aqua@aquaplus.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000094.000046382.html
Nature株式会社,"","",yshiota@nature.global,アプリ,https://prtimes.jp/main/html/rd/p/000000089.000019285.html
株式会社AppBrew,宛,03-3868-3329,pr@appbrew.io,アプリ,https://prtimes.jp/main/html/rd/p/000000095.000018721.html
株式会社SODA,営業／バイヤー 池本,"",k.ikemoto@soda-inc.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000045.000043703.html
Wolt Japan株式会社,"","",wolt@pr-tocs.co.jp　TEL：03-3261-7715 FAX：03-3261-7174,アプリ,https://prtimes.jp/main/html/rd/p/000000122.000051508.html
ファミリーテック株式会社,西川　莉紗子,"",risako.nishikawa@familytech.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000012.000095623.html
株式会社ヤプリ,荒川,03-6866-5730,pr@yappli.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000188.000007187.html
Coeto株式会社,"",050-6865-4924,mikami@coeto.co,アプリ,https://prtimes.jp/main/html/rd/p/000000031.000074520.html
西日本鉄道株式会社,"",092-734-1242,hiroyuki.shiiba.hs@nnr-g.com,アプリ,https://prtimes.jp/main/html/rd/p/000000446.000017692.html
株式会社アイリッジ,下坂,03-6441-2325,pr@iridge.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000384.000011255.html
株式会社カプコン,"","",publicity@eng.capcom.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000003739.000013450.html
株式会社ドリコム,"",050-3101-9977,pr@drecom.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000095.000080650.html
ルームクリップ株式会社,"",03-3405-2500,brand@roomclip.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000157.000006383.html
ZIYI GROUP HK LIMITED,王,"",mukimeitojp@ziyitech.net,アプリ,https://prtimes.jp/main/html/rd/p/000000017.000106768.html
スポティファイジャパン株式会社,/ 淺野、佐藤、木下、秋田,"",spotify_pr@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000172.000022249.html
クルーズ株式会社,阿部,03-6387-3622,studioz_pr@studioz.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001021.000006324.html
株式会社IRIAM,"","",Mail: pr@dena.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000019.000070082.html
株式会社nana music,"","",pr@nana-music.com,アプリ,https://prtimes.jp/main/html/rd/p/000000135.000011341.html
ワークスモバイルジャパン株式会社,淺野・村山・小野,"",wmj-pr@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000347.000020202.html
フォア株式会社,"",03-5280-9036,t.miyawaki@for-i.co.jp　TEL：03-5280-9036　Mobile：090-6751-5313,アプリ,https://prtimes.jp/main/html/rd/p/000000001.000121967.html
PayPay証券株式会社,︓望月（080-3018-9682）,03-6447-4915,︓pr@paypay-sec.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000140.000016872.html
株式会社ウェルナス,"",03-6822-3107,pr_info@wellnas.biz,アプリ,https://prtimes.jp/main/html/rd/p/000000024.000062426.html
CUFEIS株式会社,初山,"",shizuka-ha@sprkobo.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000001.000120901.html
エヌ・シー・ジャパン株式会社,"","",PRTeam@ncjapan.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000002251.000001868.html
株式会社FOLIO,山口）,03-6261-5152,pr-folio@folio-sec.com,アプリ,https://prtimes.jp/main/html/rd/p/000000119.000022761.html
株式会社アルダグラム,八島,03-6228-1855,pr@aldagram.com,アプリ,https://prtimes.jp/main/html/rd/p/000000015.000058603.html
株式会社ディ・テクノ,富川（とみかわ）,"",a.tomikawa@d-techno.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000514.000006779.html
学校法人 日本教育財団,企画本部 丸目,"",press@nkz.ac.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000556.000011137.html
株式会社モブキャストホールディングス,"","",release@mobcast.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000154.000037860.html
akippa株式会社,石川、森村）,03-6450-6090,pr@akippa.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000397.000016205.html
株式会社ファーマシフト,"","",corporate@psft.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000029.000077505.html
株式会社シコメルフードテック,猪川,03-6427-1282,pr@shikomel.com,アプリ,https://prtimes.jp/main/html/rd/p/000000021.000058297.html
株式会社ロイヤリティ　マーケティング,"","",press@loyalty.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000610.000004376.html
RIZAPグループ株式会社,"","",press@rizapgroup.com,アプリ,https://prtimes.jp/main/html/rd/p/000000004.000121693.html
株式会社Paidy,"","",paidypr@materialpr.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000032.000068857.html
KDDI株式会社,谷川・林・佐瀬・遠藤・栖原・月村・伊藤,"",pass-pr@kyodo-pr.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000924.000034485.html
and factory株式会社,島田,03-6712-7646,PR@andfactory.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000319.000014185.html
スマートニュース株式会社,"","",smartnews@ssu.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000554.000007945.html
TQコネクト株式会社,江部 宗一郎,050-3486-3509,contact@tqconnect.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000007.000104139.html
株式会社みずほ銀行,小谷・田山）,"",jcoin-pr@bluelab.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000061.000058981.html
株式会社ミラボ,"",03-6821-8600,info@mi-labo.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000054.000068399.html
ピンタレスト・ジャパン合同会社,高橋,"",stakahashi@pinterest.com,アプリ,https://prtimes.jp/main/html/rd/p/000000102.000037183.html
モノグサ株式会社,"","",d_nakamura@monoxer.com,アプリ,https://prtimes.jp/main/html/rd/p/000000097.000029973.html
株式会社ポリグロッツ,市村,050-3154-0451,ichimura@polyglots.net,アプリ,https://prtimes.jp/main/html/rd/p/000000183.000010773.html
LINE Digital Frontier株式会社,"","",dl_linemanga_pr@linecorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000000239.000063705.html
株式会社白泉社,"",03-3526-8000,kouhou@hakusensha.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001069.000046848.html
株式会社リベル・エンタテインメント,　六郷(ろくごう)・石橋,"",pr@liberent.co.jp　　URL: https://liberent.co.jp/,アプリ,https://prtimes.jp/main/html/rd/p/000000065.000045129.html
Bungee株式会社,"","",sheng.wei@bungee-inc.com,アプリ,https://prtimes.jp/main/html/rd/p/000000003.000120220.html
株式会社UPC,三原/齋藤,"",app@upc-corp.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000072.000048516.html
株式会社 ファイターズ スポーツ＆エンターテイメント,"","",fse_pr@fighters.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000096.000079562.html
ecbo株式会社,"",03-4405-8929,pr@ecbo.io,アプリ,https://prtimes.jp/main/html/rd/p/000000140.000021088.html
株式会社ツインプラネット,太田　小山　   営業担当：小平,03-5766-3811,pr@twinplanet.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000484.000025517.html
KLab株式会社,"","",pr@klab.com,アプリ,https://prtimes.jp/main/html/rd/p/000000712.000006348.html
株式会社ぐるかい,"",03-6807-3986,pr@gurukai.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000010.000113264.html
株式会社ディー・エヌ・エー,塚越,"",pr@dena.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000113.000013971.html
Peatix Japan株式会社,滝沢、西川,03-6805-1730,press@peatix.com,アプリ,https://prtimes.jp/main/html/rd/p/000000024.000058728.html
株式会社Link Sports,櫻井・堀・杉山,"",sales@linksports.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000070.000016295.html
母子モ株式会社,"",03-5333-6025,mtipr@mti.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000127.000099909.html
株式会社 EnglishCentral,　品川,050-3802-3236,sales-ja@englishcentral.com,アプリ,https://prtimes.jp/main/html/rd/p/000000056.000005763.html
株式会社Emposy,庄司一慶,072-200-2950,info@emposy.com,アプリ,https://prtimes.jp/main/html/rd/p/000000002.000121749.html
PIAZZA株式会社,"","",info@piazza-life.com　担当：新名,アプリ,https://prtimes.jp/main/html/rd/p/000000110.000016981.html
株式会社Liquid,"",03-4530-3002,japan@liquidinc.asia,アプリ,https://prtimes.jp/main/html/rd/p/000000140.000013861.html
株式会社The Chain Museum,楢崎美和（ならさきみわ）,"",pr@t-c-m.art,アプリ,https://prtimes.jp/main/html/rd/p/000000086.000038948.html
株式会社しまうまプリント,山田・葉・立石,"",koukoku_gr@shimapri.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000015.000061042.html
VIE STYLE株式会社,楠富,"",info@vie.style,アプリ,https://prtimes.jp/main/html/rd/p/000000034.000067474.html
株式会社リクルートMUFGビジネス,　貴田岡 祐子,"",yuko_kitaoka@recruitmufgbiz.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000005.000091387.html
株式会社　ミルウス,南　重信,090-8465-5310,info@miruws.com,アプリ,https://prtimes.jp/main/html/rd/p/000000021.000057464.html
株式会社バカン,町田）,03-6327-5533,contact@vacancorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000000296.000018933.html
株式会社コールドクター,"","",press@one-inc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000028.000058359.html
AppLovin,小黒、菊地、山崎,"",　applovin@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000034.000019867.html
三菱電機インフォメーションシステムズ株式会社,"",03-5445-7500,ikumi-kenji@mdis.co.jp　Tel:03-5445-7795,アプリ,https://prtimes.jp/main/html/rd/p/000000028.000067019.html
株式会社ドワンゴ,船江,"",niconico-pr@dwango.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000664.000056982.html
株式会社アイコニック,井上,03-6427-7117,dentaldiary@iconic-inc.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000009.000078276.html
楽天ペイメント株式会社,"","",payment-pr-team@mail.raktuen.com,アプリ,https://prtimes.jp/main/html/rd/p/000000331.000057042.html
株式会社スタジオスポビー,"",03-6435-7204,info@spoby.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000041.000031367.html
コンテンツワークス株式会社,初山,03-6673-5830,shizuka-ha@sprkobo.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000045.000013307.html
REEV株式会社,渡部裕介,"",wata100514@gmail.com,アプリ,https://prtimes.jp/main/html/rd/p/000000012.000083031.html
株式会社スペースマーケット,"","",pr@spacemarket.co.jp TEL：070-6461-7672,アプリ,https://prtimes.jp/main/html/rd/p/000000261.000015560.html
株式会社オルトプラス,（経営企画室　高橋、吉田）,050-5306-8454,pr@altplus.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000165.000053906.html
アイディアファクトリー株式会社,　三上・藤原・山田,03-5985-6801,if_pr@ideaf.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000331.000080401.html
株式会社サインド,"",03-6277-2658,pr@cynd.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000028.000070708.html
株式会社Skyfall,高木,03-6869-9143,pr@skyfall.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000039.000045762.html
Connehito株式会社,"","",pr@connehito.com,アプリ,https://prtimes.jp/main/html/rd/p/000000140.000019831.html
A＆Mグループ株式会社,加瀬裕一,043-376-5989,info@for-artist.com　FAX：043-332-9823,アプリ,https://prtimes.jp/main/html/rd/p/000000017.000089058.html
株式会社デザイニウム,町田、秦,050-3417-1827,:pr@thedesignium.com,アプリ,https://prtimes.jp/main/html/rd/p/000000022.000043186.html
株式会社FCE Holdings,安宅奈津子（あたけなつこ）,03-5908-1409,natsuko-atake@fce-hd.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000172.000029370.html
トイウェア株式会社,小林,03-6435-9129,butaiura@toiware.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000029.000037329.html
株式会社鉄人化計画,"",03-3793-5111,alliance@tetsujinka.com,アプリ,https://prtimes.jp/main/html/rd/p/000000151.000083851.html
株式会社イオレ,　岡松,050-1802-7135,press@eole.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000138.000030850.html
株式会社Fanplus,"","",press@fanplus.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000403.000002848.html
株式会社ブシロード,高比良,"",bdp_team@bushiroad.com,アプリ,https://prtimes.jp/main/html/rd/p/000006733.000014827.html
株式会社PLAY,大野、古澤、野尻,03-5784-8064,uliza_pr@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000047.000048688.html
株式会社Habitto,"",03-6741-7215,habitto@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000009.000093571.html
株式会社Finatextホールディングス,　古川,"",press@smartplus-sec.com,アプリ,https://prtimes.jp/main/html/rd/p/000000293.000012138.html
有限会社教育図書二十一,本宮彩乃,03-3971-5271,am@urstudx.com,アプリ,https://prtimes.jp/main/html/rd/p/000000016.000090496.html
Classi株式会社,飯島,"",pr@classi.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000043.000040573.html
インフロニア・ホールディングス株式会社,"","",infroneer-release@infroneer.com,アプリ,https://prtimes.jp/main/html/rd/p/000000002.000121668.html
株式会社パイ・アール,"",06-6948-8011,marketing@pai-r.com,アプリ,https://prtimes.jp/main/html/rd/p/000000027.000087017.html
Snap Inc.,小市（携帯：080-3087-2423）、安藤 ‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,"",snapchat@ssu.co.jp‬,アプリ,https://prtimes.jp/main/html/rd/p/000000050.000083919.html
HITOWAホールディングス株式会社,広報企画部 横田・小宮,03-6632-7700,pr-hd@hitowa.com,アプリ,https://prtimes.jp/main/html/rd/p/000000073.000019127.html
株式会社A Inc.,"","",press@jig.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000036.000003993.html
株式会社マネーフォワード,森谷,"",pr@moneyforward.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001052.000008962.html
株式会社RABO,"","",pr@rabo.cat,アプリ,https://prtimes.jp/main/html/rd/p/000000053.000037478.html
SIIG株式会社,熊澤,080-5402-3226,kumazawa@siig.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000007.000083899.html
株式会社くふうカンパニー,"",03-6435-1687,pr@locoguide.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000290.000046400.html
STORES 株式会社,"","",pr@st.inc,アプリ,https://prtimes.jp/main/html/rd/p/000000145.000031375.html
株式会社オトバンク,　佐伯帆乃香,03-5805-2915,hsaeki@otobank.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000305.000034798.html
株式会社Relic,佐々木,03-6455-0735,info@relic.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000157.000016318.html
GMOインターネットグループ,　山崎,03-5456-2555,pr＠gmo.jp,アプリ,https://prtimes.jp/main/html/rd/p/000003985.000000136.html
株式会社ナック,松田,03-3346-2111,irpr@nacoo.com,アプリ,https://prtimes.jp/main/html/rd/p/000000122.000009874.html
Futonto 株式会社,坂野,042-732-6667,press@futonto.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000398.000019730.html
株式会社VIC GAME STUDIOS JAPAN,"","",vicjp@vicgamestudios.com,アプリ,https://prtimes.jp/main/html/rd/p/000000011.000106108.html
株式会社タスキ,高柴,03-6812-9330,ir@tasukicorp.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000063.000051940.html
DreamHack Japan実行委員会,"","",dreamhackjp_pr@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000020.000109760.html
株式会社ギックス,"",03-3452-1221,info@gixo.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000115.000080464.html
株式会社トレタ,"",03-6431-9006,pr@toreta.in,アプリ,https://prtimes.jp/main/html/rd/p/000000050.000038464.html
株式会社ツナググループ・ホールディングス,"",03-3569-2790,tghd-info@tsunagu-grp.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000273.000004558.html
株式会社Gemcook,有田 秀永,06-6485-8112,info@gemcook.com,アプリ,https://prtimes.jp/main/html/rd/p/000000003.000074835.html
株式会社HYBE JAPAN,"","",press_hbj_corporate@hybecorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000000240.000045862.html
HiClub株式会社,"","",info@hiclub.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000031.000079070.html
