会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL,日時,連絡禁止,初回アポ済み
PUBG JAPAN株式会社,"","",pubg_jpmarketingteam@pubg.com,アプリ,https://prtimes.jp/main/html/rd/p/000000088.000082433.html,2023-05-21 13:23:23,"",""
凸版印刷株式会社,鈴木,"",kouhou@toppan.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001153.000033034.html,2023-05-21 13:23:50,"",""
株式会社Link Sports,竹中・山岸,"",campaigngr@linksports.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000073.000016295.html,2023-05-21 13:24:15,"",""
株式会社アイフリーク モバイル,"",03-6274-8901,group-pr@i-freek.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000206.000019796.html,2023-05-21 13:25:42,"",""
株式会社クリップス,池端,03-4500-7916,support@clips-web.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000073.000040160.html,2023-05-21 13:26:11,"",""
株式会社オトバンク,　佐伯・篠田,03-5805-2915,yshinoda@otobank.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000308.000034798.html,2023-05-21 13:26:40,"",""
株式会社Voicy,小出・長谷部,"",pr@voicy.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000308.000021111.html,2023-05-21 14:53:53,"",""
株式会社enish,"",03-6447-4020,pr@enish.com,アプリ,https://prtimes.jp/main/html/rd/p/000000710.000012086.html,2023-05-21 14:54:22,"",""
ニキ株式会社,王,050-1745-7003,wang.w@papegames.net,アプリ,https://prtimes.jp/main/html/rd/p/000000036.000046454.html,2023-05-21 14:55:26,"",""
株式会社DeNA SOMPO Mobility,担当:塚越(DeNA広報),"",pr@dena.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000060.000044125.html,2023-05-21 14:55:59,"",""
株式会社ブシロード,小林、藤田,"",press@bushiroad.com,アプリ,https://prtimes.jp/main/html/rd/p/000006756.000014827.html,2023-05-21 14:57:36,"",""
LINE株式会社,金島・生田・高橋・上野,"",press@linecorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000004348.000001594.html,2023-05-21 14:58:42,"",""
ALAKI株式会社,　： 伊東,06-7878-5226,： support@alaki.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000008.000092521.html,2023-05-21 15:01:23,"",""
ポノス株式会社,"","",pressrelease@ponos.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000458.000036495.html,2023-05-21 15:01:56,"",""
楽天グループ株式会社,"","",pr@mail.rakuten.com,アプリ,https://prtimes.jp/main/html/rd/p/000001962.000005889.html,2023-05-21 15:03:00,"",""
"Strava, Inc.","","",strava@ozma.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000002.000117531.html,2023-05-21 15:03:36,"",""
"Audible, Inc.",吉松（080-4734-8432）、朝日奈（070-1230-7937）、榛沢、蛭川,"",audible_pr@ssu.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000178.000036126.html,2023-05-21 15:04:37,"",""
株式会社 ソニー・ミュージックソリューションズ,"","",SMS.DB.hinatosho-info@sonymusic.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000086.000043535.html,2023-05-21 15:05:09,"",""
株式会社フォトラクション,"",03-3527-3047,pr@photoruction.com,アプリ,https://prtimes.jp/main/html/rd/p/000000067.000033069.html,2023-05-21 15:05:43,"",""
株式会社カカオピッコマ,"","",pr@kakaopiccoma.com,アプリ,https://prtimes.jp/main/html/rd/p/000000482.000003707.html,2023-05-21 15:06:48,"",""
株式会社ヌーラボ,　安立（あだち）,"",pr@nulab.com,アプリ,https://prtimes.jp/main/html/rd/p/000000350.000025423.html,2023-05-21 15:07:21,"",""
株式会社メルカリ,"","",press@kakelu.com,アプリ,https://prtimes.jp/main/html/rd/p/000000246.000026386.html,2023-05-21 15:08:56,"",""
株式会社講談社,山本美沙子,03-3945-1111,mi-yamamoto@stf.kodansha.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000005120.000001719.html,2023-05-21 15:09:24,"",""
株式会社セレス,廣木（ひろき）,03-5797-3347,pr-ir@ceres-inc.jp　TEL: 080-9204-6057（携帯）03-5797-3347（直通）,アプリ,https://prtimes.jp/main/html/rd/p/000000098.000021504.html,2023-05-21 15:11:08,"",""
what3words Limited.,"","",pr_what3words@mint-japan.com,アプリ,https://prtimes.jp/main/html/rd/p/000000005.000089785.html,2023-05-21 15:12:51,"",""
株式会社カカオゲームズジャパン,"","",gamesjp_pr@kakaocorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000000063.000073021.html,2023-05-21 15:14:22,"",""
株式会社IRODORI,永井,"",kikaku@irodori-group.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000005.000106438.html,2023-05-21 15:15:54,"",""
株式会社みんなの銀行,今村・市原・中原,092-791-9231,pr@minna-no-ginko.com,アプリ,https://prtimes.jp/main/html/rd/p/000000118.000072105.html,2023-05-21 15:16:24,"",""
株式会社Kdan Japan,千明,070-4378-0955,business_jp@kdanmobile.com,アプリ,https://prtimes.jp/main/html/rd/p/000000030.000054768.html,2023-05-21 15:20:08,"",""
株式会社KADOKAWA,"","",gb-pr@ml.kadokawa.jp,アプリ,https://prtimes.jp/main/html/rd/p/000012716.000007006.html,2023-05-21 15:20:44,"",""
株式会社西山居,"",03-6823-8650,k.nagami@kingsoft.com,アプリ,https://prtimes.jp/main/html/rd/p/000000007.000060740.html,2023-05-21 15:21:41,"",""
DXYZ株式会社,"",03-4477-6589,pr@dxyz.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000038.000091732.html,2023-05-21 15:22:12,"",""
プロパティエージェント株式会社,"",03-6302-3011,ir.info@propertyagent.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000228.000021233.html,2023-05-21 15:22:49,"",""
株式会社メルカリ,高木,"",pr-mercari@mercari.com,アプリ,https://prtimes.jp/main/html/rd/p/000000245.000026386.html,2023-05-21 15:25:22,"",""
株式会社エムティーアイ,"",03-5333-6755,mtipr@mti.co.jp　URL：https://www.mti.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001114.000002943.html,2023-05-21 15:25:51,"",""
bravesoft株式会社,高瀬 将臣,03-6809-6030,m.takase@bravesoft.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000177.000054681.html,2023-05-21 15:26:18,"",""
株式会社 uzumaki creative,中田朱音,070-3861-1827,info@uzumakicreative.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000029.000088580.html,2023-05-21 15:26:49,"",""
大網株式会社,"","",y_moriyama@oh-ami.com,アプリ,https://prtimes.jp/main/html/rd/p/000001558.000025615.html,2023-05-21 15:27:23,"",""
株式会社ミラティブ,倉橋,"",pr@mirrativ.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000102.000033025.html,2023-05-21 15:27:56,"",""
バイドゥ株式会社,"","",pr-jp@baidu.com,アプリ,https://prtimes.jp/main/html/rd/p/000000702.000006410.html,2023-05-21 15:28:31,"",""
RainbowLIVE株式会社,"","",contact＠rain-bow.live,アプリ,https://prtimes.jp/main/html/rd/p/000000043.000105215.html,2023-05-21 15:30:03,"",""
ＫＯＣ・ＪＡＰＡＮ株式会社,竹中　仁志,03-6263-9508,support@koc-japan.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000032.000058501.html,2023-05-21 15:31:09,"",""
テレビ愛知株式会社,春木、横山,052-203-0250,pr@hizakurige.com,アプリ,https://prtimes.jp/main/html/rd/p/000000402.000014948.html,2023-05-21 15:31:35,"",""
株式会社Luup,松本・村本,"",pr@luup.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000208.000043250.html,2023-05-21 15:32:11,"",""
株式会社STANDING OVATION,"",03-6447-1723,press@s-ovation.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000065.000011269.html,2023-05-21 15:32:38,"",""
IGG,　佐藤 亨紀,"",sato.akinori@igg.com,アプリ,https://prtimes.jp/main/html/rd/p/000000310.000020234.html,2023-05-21 15:35:24,"",""
株式会社マーベラス,"",03-5769-7447,marv_publicity@marv.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001499.000016719.html,2023-05-21 15:37:06,"",""
株式会社セレス,廣木（ひろき）,03-5797-3347,pr-ir@ceres-inc.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000099.000021504.html,2023-05-21 15:38:09,"",""
株式会社プラチナエッグ,"","",climbers@platinum-egg.com,アプリ,https://prtimes.jp/main/html/rd/p/000000019.000092285.html,2023-05-21 15:39:48,"",""
株式会社ookami,若月,090-6007-0533,tsubasa.wakatsuki@ookamiinc.com,アプリ,https://prtimes.jp/main/html/rd/p/000000741.000013627.html,2023-05-21 15:40:18,"",""
アステリア株式会社,"",03-5718-1297,pm@asteria.com,アプリ,https://prtimes.jp/main/html/rd/p/000000324.000010008.html,2023-05-21 15:40:48,"",""
株式会社ナビゲート,渡辺・米村・上原,03-6452-9271,odekakeev@navigate.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000001.000100081.html,2023-05-21 15:41:51,"",""
株式会社ブシロード,佐伯,"",support@bushiroad-creative.com,アプリ,https://prtimes.jp/main/html/rd/p/000006750.000014827.html,2023-05-21 15:42:24,"",""
ミントフラッグ株式会社,／片山、池田,080-4354-1975,: pr@mintflag.com,アプリ,https://prtimes.jp/main/html/rd/p/000000064.000027398.html,2023-05-21 15:42:56,"",""
RPS株式会社,"","",pr@rps.fun,アプリ,https://prtimes.jp/main/html/rd/p/000000005.000094249.html,2023-05-21 15:44:09,"",""
株式会社フィナンシェ,八木田,"",pr@financie.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000320.000042665.html,2023-05-21 15:44:39,"",""
ヤフー株式会社,"",03-6898-8282,ycompany-pr@mail.yahoo.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000256.000098822.html,2023-05-21 15:45:13,"",""
株式会社アクアプラス,宛て,06-6836-9205,　aqua@aquaplus.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000094.000046382.html,2023-05-21 15:47:50,"",""
Nature株式会社,"","",yshiota@nature.global,アプリ,https://prtimes.jp/main/html/rd/p/000000089.000019285.html,2023-05-21 15:48:22,"",""
株式会社AppBrew,宛,03-3868-3329,pr@appbrew.io,アプリ,https://prtimes.jp/main/html/rd/p/000000095.000018721.html,2023-05-21 15:51:00,"",""
株式会社SODA,営業／バイヤー 池本,"",k.ikemoto@soda-inc.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000045.000043703.html,2023-05-21 15:53:45,"",""
Wolt Japan株式会社,"","",wolt@pr-tocs.co.jp　TEL：03-3261-7715 FAX：03-3261-7174,アプリ,https://prtimes.jp/main/html/rd/p/000000122.000051508.html,2023-05-21 15:56:55,"",""
ファミリーテック株式会社,西川　莉紗子,"",risako.nishikawa@familytech.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000012.000095623.html,2023-05-21 15:57:27,"",""
株式会社ヤプリ,荒川,03-6866-5730,pr@yappli.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000188.000007187.html,2023-05-21 15:59:00,"",""
Coeto株式会社,"",050-6865-4924,mikami@coeto.co,アプリ,https://prtimes.jp/main/html/rd/p/000000031.000074520.html,2023-05-21 16:00:45,"",""
西日本鉄道株式会社,"",092-734-1242,hiroyuki.shiiba.hs@nnr-g.com,アプリ,https://prtimes.jp/main/html/rd/p/000000446.000017692.html,2023-05-21 16:01:11,"",""
株式会社アイリッジ,下坂,03-6441-2325,pr@iridge.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000384.000011255.html,2023-05-21 16:04:03,"",""
株式会社カプコン,"","",publicity@eng.capcom.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000003739.000013450.html,2023-05-21 16:04:35,"",""
株式会社ドリコム,"",050-3101-9977,pr@drecom.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000095.000080650.html,2023-05-21 16:05:10,"",""
ルームクリップ株式会社,"",03-3405-2500,brand@roomclip.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000157.000006383.html,2023-05-21 16:09:31,"",""
ZIYI GROUP HK LIMITED,王,"",mukimeitojp@ziyitech.net,アプリ,https://prtimes.jp/main/html/rd/p/000000017.000106768.html,2023-05-21 16:10:35,"",""
スポティファイジャパン株式会社,/ 淺野、佐藤、木下、秋田,"",spotify_pr@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000172.000022249.html,2023-05-21 16:12:16,"",""
クルーズ株式会社,阿部,03-6387-3622,studioz_pr@studioz.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001021.000006324.html,2023-05-21 16:12:48,"",""
株式会社IRIAM,"","",Mail: pr@dena.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000019.000070082.html,2023-05-21 16:15:28,"",""
株式会社nana music,"","",pr@nana-music.com,アプリ,https://prtimes.jp/main/html/rd/p/000000135.000011341.html,2023-05-21 16:16:01,"",""
ワークスモバイルジャパン株式会社,淺野・村山・小野,"",wmj-pr@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000347.000020202.html,2023-05-21 16:17:07,"",""
フォア株式会社,"",03-5280-9036,t.miyawaki@for-i.co.jp　TEL：03-5280-9036　Mobile：090-6751-5313,アプリ,https://prtimes.jp/main/html/rd/p/000000001.000121967.html,2023-05-21 16:17:41,"",""
PayPay証券株式会社,︓望月（080-3018-9682）,03-6447-4915,︓pr@paypay-sec.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000140.000016872.html,2023-05-21 16:19:09,"",""
株式会社ウェルナス,"",03-6822-3107,pr_info@wellnas.biz,アプリ,https://prtimes.jp/main/html/rd/p/000000024.000062426.html,2023-05-21 16:20:43,"",""
CUFEIS株式会社,初山,"",shizuka-ha@sprkobo.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000001.000120901.html,2023-05-21 16:21:18,"",""
エヌ・シー・ジャパン株式会社,"","",PRTeam@ncjapan.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000002251.000001868.html,2023-05-21 16:22:55,"",""
株式会社FOLIO,山口）,03-6261-5152,pr-folio@folio-sec.com,アプリ,https://prtimes.jp/main/html/rd/p/000000119.000022761.html,2023-05-21 16:23:55,"",""
株式会社アルダグラム,八島,03-6228-1855,pr@aldagram.com,アプリ,https://prtimes.jp/main/html/rd/p/000000015.000058603.html,2023-05-21 16:24:27,"",""
株式会社ディ・テクノ,富川（とみかわ）,"",a.tomikawa@d-techno.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000514.000006779.html,2023-05-21 16:26:08,"",""
学校法人 日本教育財団,企画本部 丸目,"",press@nkz.ac.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000556.000011137.html,2023-05-21 16:29:27,"",""
株式会社モブキャストホールディングス,"","",release@mobcast.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000154.000037860.html,2023-05-21 16:30:30,"",""
akippa株式会社,石川、森村）,03-6450-6090,pr@akippa.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000397.000016205.html,2023-05-21 16:31:34,"",""
株式会社ファーマシフト,"","",corporate@psft.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000029.000077505.html,2023-05-21 16:33:48,"",""
株式会社シコメルフードテック,猪川,03-6427-1282,pr@shikomel.com,アプリ,https://prtimes.jp/main/html/rd/p/000000021.000058297.html,2023-05-21 16:35:26,"",""
株式会社ロイヤリティ　マーケティング,"","",press@loyalty.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000610.000004376.html,2023-05-21 16:37:06,"",""
RIZAPグループ株式会社,"","",press@rizapgroup.com,アプリ,https://prtimes.jp/main/html/rd/p/000000004.000121693.html,2023-05-21 16:37:42,"",""
株式会社Paidy,"","",paidypr@materialpr.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000032.000068857.html,2023-05-21 16:38:16,"",""
KDDI株式会社,谷川・林・佐瀬・遠藤・栖原・月村・伊藤,"",pass-pr@kyodo-pr.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000924.000034485.html,2023-05-21 16:39:22,"",""
and factory株式会社,島田,03-6712-7646,PR@andfactory.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000319.000014185.html,2023-05-21 16:40:35,"",""
スマートニュース株式会社,"","",smartnews@ssu.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000554.000007945.html,2023-05-21 16:42:17,"",""
TQコネクト株式会社,江部 宗一郎,050-3486-3509,contact@tqconnect.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000007.000104139.html,2023-05-21 16:45:22,"",""
株式会社みずほ銀行,小谷・田山）,"",jcoin-pr@bluelab.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000061.000058981.html,2023-05-21 16:45:58,"",""
株式会社ミラボ,"",03-6821-8600,info@mi-labo.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000054.000068399.html,2023-05-21 16:47:41,"",""
ピンタレスト・ジャパン合同会社,高橋,"",stakahashi@pinterest.com,アプリ,https://prtimes.jp/main/html/rd/p/000000102.000037183.html,2023-05-21 16:50:00,"",""
モノグサ株式会社,"","",d_nakamura@monoxer.com,アプリ,https://prtimes.jp/main/html/rd/p/000000097.000029973.html,2023-05-21 16:51:13,"",""
株式会社ポリグロッツ,市村,050-3154-0451,ichimura@polyglots.net,アプリ,https://prtimes.jp/main/html/rd/p/000000183.000010773.html,2023-05-21 16:52:24,"",""
LINE Digital Frontier株式会社,"","",dl_linemanga_pr@linecorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000000239.000063705.html,2023-05-21 16:52:58,"",""
株式会社白泉社,"",03-3526-8000,kouhou@hakusensha.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001069.000046848.html,2023-05-21 16:53:28,"",""
株式会社リベル・エンタテインメント,　六郷(ろくごう)・石橋,"",pr@liberent.co.jp　　URL: https://liberent.co.jp/,アプリ,https://prtimes.jp/main/html/rd/p/000000065.000045129.html,2023-05-21 16:55:43,"",""
Bungee株式会社,"","",sheng.wei@bungee-inc.com,アプリ,https://prtimes.jp/main/html/rd/p/000000003.000120220.html,2023-05-21 16:56:48,"",""
株式会社UPC,三原/齋藤,"",app@upc-corp.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000072.000048516.html,2023-05-21 16:57:56,"",""
株式会社 ファイターズ スポーツ＆エンターテイメント,"","",fse_pr@fighters.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000096.000079562.html,2023-05-21 16:58:28,"",""
ecbo株式会社,"",03-4405-8929,pr@ecbo.io,アプリ,https://prtimes.jp/main/html/rd/p/000000140.000021088.html,2023-05-21 17:02:11,"",""
株式会社ツインプラネット,太田　小山　   営業担当：小平,03-5766-3811,pr@twinplanet.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000484.000025517.html,2023-05-21 17:04:30,"",""
KLab株式会社,"","",pr@klab.com,アプリ,https://prtimes.jp/main/html/rd/p/000000712.000006348.html,2023-05-21 17:05:39,"",""
株式会社ぐるかい,"",03-6807-3986,pr@gurukai.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000010.000113264.html,2023-05-21 17:06:11,"",""
株式会社ディー・エヌ・エー,塚越,"",pr@dena.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000113.000013971.html,2023-05-21 17:06:52,"",""
Peatix Japan株式会社,滝沢、西川,03-6805-1730,press@peatix.com,アプリ,https://prtimes.jp/main/html/rd/p/000000024.000058728.html,2023-05-21 17:07:24,"",""
株式会社Link Sports,櫻井・堀・杉山,"",sales@linksports.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000070.000016295.html,2023-05-21 17:07:55,"",""
母子モ株式会社,"",03-5333-6025,mtipr@mti.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000127.000099909.html,2023-05-21 17:12:16,"",""
株式会社 EnglishCentral,　品川,050-3802-3236,sales-ja@englishcentral.com,アプリ,https://prtimes.jp/main/html/rd/p/000000056.000005763.html,2023-05-21 17:12:51,"",""
株式会社Emposy,庄司一慶,072-200-2950,info@emposy.com,アプリ,https://prtimes.jp/main/html/rd/p/000000002.000121749.html,2023-05-21 17:13:22,"",""
PIAZZA株式会社,"","",info@piazza-life.com　担当：新名,アプリ,https://prtimes.jp/main/html/rd/p/000000110.000016981.html,2023-05-21 17:16:55,"",""
株式会社Liquid,"",03-4530-3002,japan@liquidinc.asia,アプリ,https://prtimes.jp/main/html/rd/p/000000140.000013861.html,2023-05-21 17:19:07,"",""
株式会社The Chain Museum,楢崎美和（ならさきみわ）,"",pr@t-c-m.art,アプリ,https://prtimes.jp/main/html/rd/p/000000086.000038948.html,2023-05-21 17:27:44,"",""
株式会社しまうまプリント,山田・葉・立石,"",koukoku_gr@shimapri.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000015.000061042.html,2023-05-21 17:29:23,"",""
VIE STYLE株式会社,楠富,"",info@vie.style,アプリ,https://prtimes.jp/main/html/rd/p/000000034.000067474.html,2023-05-21 17:31:06,"",""
株式会社リクルートMUFGビジネス,　貴田岡 祐子,"",yuko_kitaoka@recruitmufgbiz.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000005.000091387.html,2023-05-21 17:32:50,"",""
株式会社　ミルウス,南　重信,090-8465-5310,info@miruws.com,アプリ,https://prtimes.jp/main/html/rd/p/000000021.000057464.html,2023-05-21 17:39:05,"",""
株式会社バカン,町田）,03-6327-5533,contact@vacancorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000000296.000018933.html,2023-05-21 17:40:01,"",""
株式会社コールドクター,"","",press@one-inc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000028.000058359.html,2023-05-21 17:41:07,"",""
AppLovin,小黒、菊地、山崎,"",　applovin@vectorinc.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000034.000019867.html,2023-05-21 17:41:41,"",""
三菱電機インフォメーションシステムズ株式会社,"",03-5445-7500,ikumi-kenji@mdis.co.jp　Tel:03-5445-7795,アプリ,https://prtimes.jp/main/html/rd/p/000000028.000067019.html,2023-05-21 17:43:22,"",""
株式会社ドワンゴ,船江,"",niconico-pr@dwango.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000664.000056982.html,2023-05-21 17:44:01,"",""
株式会社アイコニック,井上,03-6427-7117,dentaldiary@iconic-inc.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000009.000078276.html,2023-05-21 17:45:15,"",""
楽天ペイメント株式会社,"","",payment-pr-team@mail.raktuen.com,アプリ,https://prtimes.jp/main/html/rd/p/000000331.000057042.html,2023-05-21 17:46:25,"",""
株式会社スタジオスポビー,"",03-6435-7204,info@spoby.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000041.000031367.html,2023-05-21 17:47:01,"",""
コンテンツワークス株式会社,初山,03-6673-5830,shizuka-ha@sprkobo.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000045.000013307.html,2023-05-21 17:47:40,"",""
REEV株式会社,渡部裕介,"",wata100514@gmail.com,アプリ,https://prtimes.jp/main/html/rd/p/000000012.000083031.html,2023-05-21 17:49:49,"",""
株式会社スペースマーケット,"","",pr@spacemarket.co.jp TEL：070-6461-7672,アプリ,https://prtimes.jp/main/html/rd/p/000000261.000015560.html,2023-05-21 17:50:23,"",""
株式会社オルトプラス,（経営企画室　高橋、吉田）,050-5306-8454,pr@altplus.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000165.000053906.html,2023-05-21 17:52:37,"",""
アイディアファクトリー株式会社,　三上・藤原・山田,03-5985-6801,if_pr@ideaf.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000331.000080401.html,2023-05-21 17:53:12,"",""
株式会社サインド,"",03-6277-2658,pr@cynd.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000028.000070708.html,2023-05-21 17:54:54,"",""
