会社名,prtimesのURL,メールアドレス,電話番号,担当者,カテゴリ,日時,連絡禁止,初回アポ済み
株式会社フォトラクション,https://prtimes.jp/main/html/rd/p/000000067.000033069.html,pr@photoruction.com,03-3527-3047,"",アプリ,2023-06-25 12:16:40,"",""
株式会社カカオピッコマ,https://prtimes.jp/main/html/rd/p/000000482.000003707.html,pr@kakaopiccoma.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ヌーラボ,https://prtimes.jp/main/html/rd/p/000000350.000025423.html,pr@nulab.com,"",　安立（あだち）,アプリ,2023-06-25 12:16:40,"",""
株式会社メルカリ,https://prtimes.jp/main/html/rd/p/000000246.000026386.html,press@kakelu.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社講談社,https://prtimes.jp/main/html/rd/p/000005120.000001719.html,mi-yamamoto@stf.kodansha.co.jp,03-3945-1111,山本美沙子,アプリ,2023-06-25 12:16:40,"",""
株式会社セレス,https://prtimes.jp/main/html/rd/p/000000098.000021504.html,pr-ir@ceres-inc.jp　TEL: 080-9204-6057（携帯）03-5797-3347（直通）,03-5797-3347,廣木（ひろき）,アプリ,2023-06-25 12:16:40,"",""
what3words Limited.,https://prtimes.jp/main/html/rd/p/000000005.000089785.html,pr_what3words@mint-japan.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社カカオゲームズジャパン,https://prtimes.jp/main/html/rd/p/000000063.000073021.html,gamesjp_pr@kakaocorp.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社IRODORI,https://prtimes.jp/main/html/rd/p/000000005.000106438.html,kikaku@irodori-group.jp,"",永井,アプリ,2023-06-25 12:16:40,"",""
株式会社みんなの銀行,https://prtimes.jp/main/html/rd/p/000000118.000072105.html,pr@minna-no-ginko.com,092-791-9231,今村・市原・中原,アプリ,2023-06-25 12:16:40,"",""
株式会社Kdan Japan,https://prtimes.jp/main/html/rd/p/000000030.000054768.html,business_jp@kdanmobile.com,070-4378-0955,千明,アプリ,2023-06-25 12:16:40,"",""
株式会社KADOKAWA,https://prtimes.jp/main/html/rd/p/000012716.000007006.html,gb-pr@ml.kadokawa.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社西山居,https://prtimes.jp/main/html/rd/p/000000007.000060740.html,k.nagami@kingsoft.com,03-6823-8650,"",アプリ,2023-06-25 12:16:40,"",""
DXYZ株式会社,https://prtimes.jp/main/html/rd/p/000000038.000091732.html,pr@dxyz.co.jp,03-4477-6589,"",アプリ,2023-06-25 12:16:40,"",""
プロパティエージェント株式会社,https://prtimes.jp/main/html/rd/p/000000228.000021233.html,ir.info@propertyagent.co.jp,03-6302-3011,"",アプリ,2023-06-25 12:16:40,"",""
株式会社メルカリ,https://prtimes.jp/main/html/rd/p/000000245.000026386.html,pr-mercari@mercari.com,"",高木,アプリ,2023-06-25 12:16:40,"",""
株式会社エムティーアイ,https://prtimes.jp/main/html/rd/p/000001114.000002943.html,mtipr@mti.co.jp　URL：https://www.mti.co.jp,03-5333-6755,"",アプリ,2023-06-25 12:16:40,"",""
bravesoft株式会社,https://prtimes.jp/main/html/rd/p/000000177.000054681.html,m.takase@bravesoft.co.jp,03-6809-6030,高瀬 将臣,アプリ,2023-06-25 12:16:40,"",""
株式会社 uzumaki creative,https://prtimes.jp/main/html/rd/p/000000029.000088580.html,info@uzumakicreative.co.jp,070-3861-1827,中田朱音,アプリ,2023-06-25 12:16:40,"",""
大網株式会社,https://prtimes.jp/main/html/rd/p/000001558.000025615.html,y_moriyama@oh-ami.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ミラティブ,https://prtimes.jp/main/html/rd/p/000000102.000033025.html,pr@mirrativ.co.jp,"",倉橋,アプリ,2023-06-25 12:16:40,"",""
バイドゥ株式会社,https://prtimes.jp/main/html/rd/p/000000702.000006410.html,pr-jp@baidu.com,"","",アプリ,2023-06-25 12:16:40,"",""
RainbowLIVE株式会社,https://prtimes.jp/main/html/rd/p/000000043.000105215.html,contact＠rain-bow.live,"","",アプリ,2023-06-25 12:16:40,"",""
ＫＯＣ・ＪＡＰＡＮ株式会社,https://prtimes.jp/main/html/rd/p/000000032.000058501.html,support@koc-japan.co.jp,03-6263-9508,竹中　仁志,アプリ,2023-06-25 12:16:40,"",""
テレビ愛知株式会社,https://prtimes.jp/main/html/rd/p/000000402.000014948.html,pr@hizakurige.com,052-203-0250,春木、横山,アプリ,2023-06-25 12:16:40,"",""
株式会社Luup,https://prtimes.jp/main/html/rd/p/000000208.000043250.html,pr@luup.co.jp,"",松本・村本,アプリ,2023-06-25 12:16:40,"",""
株式会社STANDING OVATION,https://prtimes.jp/main/html/rd/p/000000065.000011269.html,press@s-ovation.jp,03-6447-1723,"",アプリ,2023-06-25 12:16:40,"",""
IGG,https://prtimes.jp/main/html/rd/p/000000310.000020234.html,sato.akinori@igg.com,"",　佐藤 亨紀,アプリ,2023-06-25 12:16:40,"",""
株式会社マーベラス,https://prtimes.jp/main/html/rd/p/000001499.000016719.html,marv_publicity@marv.jp,03-5769-7447,"",アプリ,2023-06-25 12:16:40,"",""
株式会社セレス,https://prtimes.jp/main/html/rd/p/000000099.000021504.html,pr-ir@ceres-inc.jp,03-5797-3347,廣木（ひろき）,アプリ,2023-06-25 12:16:40,"",""
株式会社プラチナエッグ,https://prtimes.jp/main/html/rd/p/000000019.000092285.html,climbers@platinum-egg.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ookami,https://prtimes.jp/main/html/rd/p/000000741.000013627.html,tsubasa.wakatsuki@ookamiinc.com,090-6007-0533,若月,アプリ,2023-06-25 12:16:40,"",""
アステリア株式会社,https://prtimes.jp/main/html/rd/p/000000324.000010008.html,pm@asteria.com,03-5718-1297,"",アプリ,2023-06-25 12:16:40,"",""
株式会社ナビゲート,https://prtimes.jp/main/html/rd/p/000000001.000100081.html,odekakeev@navigate.jp,03-6452-9271,渡辺・米村・上原,アプリ,2023-06-25 12:16:40,"",""
株式会社ブシロード,https://prtimes.jp/main/html/rd/p/000006750.000014827.html,support@bushiroad-creative.com,"",佐伯,アプリ,2023-06-25 12:16:40,"",""
ミントフラッグ株式会社,https://prtimes.jp/main/html/rd/p/000000064.000027398.html,: pr@mintflag.com,080-4354-1975,／片山、池田,アプリ,2023-06-25 12:16:40,"",""
RPS株式会社,https://prtimes.jp/main/html/rd/p/000000005.000094249.html,pr@rps.fun,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社フィナンシェ,https://prtimes.jp/main/html/rd/p/000000320.000042665.html,pr@financie.jp,"",八木田,アプリ,2023-06-25 12:16:40,"",""
ヤフー株式会社,https://prtimes.jp/main/html/rd/p/000000256.000098822.html,ycompany-pr@mail.yahoo.co.jp,03-6898-8282,"",アプリ,2023-06-25 12:16:40,"",""
株式会社アクアプラス,https://prtimes.jp/main/html/rd/p/000000094.000046382.html,　aqua@aquaplus.co.jp,06-6836-9205,宛て,アプリ,2023-06-25 12:16:40,"",""
Nature株式会社,https://prtimes.jp/main/html/rd/p/000000089.000019285.html,yshiota@nature.global,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社AppBrew,https://prtimes.jp/main/html/rd/p/000000095.000018721.html,pr@appbrew.io,03-3868-3329,宛,アプリ,2023-06-25 12:16:40,"",""
株式会社SODA,https://prtimes.jp/main/html/rd/p/000000045.000043703.html,k.ikemoto@soda-inc.jp,"",営業／バイヤー 池本,アプリ,2023-06-25 12:16:40,"",""
Wolt Japan株式会社,https://prtimes.jp/main/html/rd/p/000000122.000051508.html,wolt@pr-tocs.co.jp　TEL：03-3261-7715 FAX：03-3261-7174,"","",アプリ,2023-06-25 12:16:40,"",""
ファミリーテック株式会社,https://prtimes.jp/main/html/rd/p/000000012.000095623.html,risako.nishikawa@familytech.co.jp,"",西川　莉紗子,アプリ,2023-06-25 12:16:40,"",""
株式会社ヤプリ,https://prtimes.jp/main/html/rd/p/000000188.000007187.html,pr@yappli.co.jp,03-6866-5730,荒川,アプリ,2023-06-25 12:16:40,"",""
Coeto株式会社,https://prtimes.jp/main/html/rd/p/000000031.000074520.html,mikami@coeto.co,050-6865-4924,"",アプリ,2023-06-25 12:16:40,"",""
西日本鉄道株式会社,https://prtimes.jp/main/html/rd/p/000000446.000017692.html,hiroyuki.shiiba.hs@nnr-g.com,092-734-1242,"",アプリ,2023-06-25 12:16:40,"",""
株式会社アイリッジ,https://prtimes.jp/main/html/rd/p/000000384.000011255.html,pr@iridge.jp,03-6441-2325,下坂,アプリ,2023-06-25 12:16:40,"",""
株式会社カプコン,https://prtimes.jp/main/html/rd/p/000003739.000013450.html,publicity@eng.capcom.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ドリコム,https://prtimes.jp/main/html/rd/p/000000095.000080650.html,pr@drecom.co.jp,050-3101-9977,"",アプリ,2023-06-25 12:16:40,"",""
ルームクリップ株式会社,https://prtimes.jp/main/html/rd/p/000000157.000006383.html,brand@roomclip.jp,03-3405-2500,"",アプリ,2023-06-25 12:16:40,"",""
ZIYI GROUP HK LIMITED,https://prtimes.jp/main/html/rd/p/000000017.000106768.html,mukimeitojp@ziyitech.net,"",王,アプリ,2023-06-25 12:16:40,"",""
スポティファイジャパン株式会社,https://prtimes.jp/main/html/rd/p/000000172.000022249.html,spotify_pr@vectorinc.co.jp,"",/ 淺野、佐藤、木下、秋田,アプリ,2023-06-25 12:16:40,"",""
クルーズ株式会社,https://prtimes.jp/main/html/rd/p/000001021.000006324.html,studioz_pr@studioz.co.jp,03-6387-3622,阿部,アプリ,2023-06-25 12:16:40,"",""
株式会社IRIAM,https://prtimes.jp/main/html/rd/p/000000019.000070082.html,Mail: pr@dena.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社nana music,https://prtimes.jp/main/html/rd/p/000000135.000011341.html,pr@nana-music.com,"","",アプリ,2023-06-25 12:16:40,"",""
ワークスモバイルジャパン株式会社,https://prtimes.jp/main/html/rd/p/000000347.000020202.html,wmj-pr@vectorinc.co.jp,"",淺野・村山・小野,アプリ,2023-06-25 12:16:40,"",""
フォア株式会社,https://prtimes.jp/main/html/rd/p/000000001.000121967.html,t.miyawaki@for-i.co.jp　TEL：03-5280-9036　Mobile：090-6751-5313,03-5280-9036,"",アプリ,2023-06-25 12:16:40,"",""
PayPay証券株式会社,https://prtimes.jp/main/html/rd/p/000000140.000016872.html,︓pr@paypay-sec.co.jp,03-6447-4915,︓望月（080-3018-9682）,アプリ,2023-06-25 12:16:40,"",""
株式会社ウェルナス,https://prtimes.jp/main/html/rd/p/000000024.000062426.html,pr_info@wellnas.biz,03-6822-3107,"",アプリ,2023-06-25 12:16:40,"",""
CUFEIS株式会社,https://prtimes.jp/main/html/rd/p/000000001.000120901.html,shizuka-ha@sprkobo.jp,"",初山,アプリ,2023-06-25 12:16:40,"",""
エヌ・シー・ジャパン株式会社,https://prtimes.jp/main/html/rd/p/000002251.000001868.html,PRTeam@ncjapan.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社FOLIO,https://prtimes.jp/main/html/rd/p/000000119.000022761.html,pr-folio@folio-sec.com,03-6261-5152,山口）,アプリ,2023-06-25 12:16:40,"",""
株式会社アルダグラム,https://prtimes.jp/main/html/rd/p/000000015.000058603.html,pr@aldagram.com,03-6228-1855,八島,アプリ,2023-06-25 12:16:40,"",""
株式会社ディ・テクノ,https://prtimes.jp/main/html/rd/p/000000514.000006779.html,a.tomikawa@d-techno.jp,"",富川（とみかわ）,アプリ,2023-06-25 12:16:40,"",""
学校法人 日本教育財団,https://prtimes.jp/main/html/rd/p/000000556.000011137.html,press@nkz.ac.jp,"",企画本部 丸目,アプリ,2023-06-25 12:16:40,"",""
株式会社モブキャストホールディングス,https://prtimes.jp/main/html/rd/p/000000154.000037860.html,release@mobcast.jp,"","",アプリ,2023-06-25 12:16:40,"",""
akippa株式会社,https://prtimes.jp/main/html/rd/p/000000397.000016205.html,pr@akippa.co.jp,03-6450-6090,石川、森村）,アプリ,2023-06-25 12:16:40,"",""
株式会社ファーマシフト,https://prtimes.jp/main/html/rd/p/000000029.000077505.html,corporate@psft.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社シコメルフードテック,https://prtimes.jp/main/html/rd/p/000000021.000058297.html,pr@shikomel.com,03-6427-1282,猪川,アプリ,2023-06-25 12:16:40,"",""
株式会社ロイヤリティ　マーケティング,https://prtimes.jp/main/html/rd/p/000000610.000004376.html,press@loyalty.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
RIZAPグループ株式会社,https://prtimes.jp/main/html/rd/p/000000004.000121693.html,press@rizapgroup.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社Paidy,https://prtimes.jp/main/html/rd/p/000000032.000068857.html,paidypr@materialpr.jp,"","",アプリ,2023-06-25 12:16:40,"",""
KDDI株式会社,https://prtimes.jp/main/html/rd/p/000000924.000034485.html,pass-pr@kyodo-pr.co.jp,"",谷川・林・佐瀬・遠藤・栖原・月村・伊藤,アプリ,2023-06-25 12:16:40,"",""
and factory株式会社,https://prtimes.jp/main/html/rd/p/000000319.000014185.html,PR@andfactory.co.jp,03-6712-7646,島田,アプリ,2023-06-25 12:16:40,"",""
スマートニュース株式会社,https://prtimes.jp/main/html/rd/p/000000554.000007945.html,smartnews@ssu.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
TQコネクト株式会社,https://prtimes.jp/main/html/rd/p/000000007.000104139.html,contact@tqconnect.co.jp,050-3486-3509,江部 宗一郎,アプリ,2023-06-25 12:16:40,"",""
株式会社みずほ銀行,https://prtimes.jp/main/html/rd/p/000000061.000058981.html,jcoin-pr@bluelab.co.jp,"",小谷・田山）,アプリ,2023-06-25 12:16:40,"",""
株式会社ミラボ,https://prtimes.jp/main/html/rd/p/000000054.000068399.html,info@mi-labo.co.jp,03-6821-8600,"",アプリ,2023-06-25 12:16:40,"",""
ピンタレスト・ジャパン合同会社,https://prtimes.jp/main/html/rd/p/000000102.000037183.html,stakahashi@pinterest.com,"",高橋,アプリ,2023-06-25 12:16:40,"",""
モノグサ株式会社,https://prtimes.jp/main/html/rd/p/000000097.000029973.html,d_nakamura@monoxer.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ポリグロッツ,https://prtimes.jp/main/html/rd/p/000000183.000010773.html,ichimura@polyglots.net,050-3154-0451,市村,アプリ,2023-06-25 12:16:40,"",""
LINE Digital Frontier株式会社,https://prtimes.jp/main/html/rd/p/000000239.000063705.html,dl_linemanga_pr@linecorp.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社白泉社,https://prtimes.jp/main/html/rd/p/000001069.000046848.html,kouhou@hakusensha.co.jp,03-3526-8000,"",アプリ,2023-06-25 12:16:40,"",""
株式会社リベル・エンタテインメント,https://prtimes.jp/main/html/rd/p/000000065.000045129.html,pr@liberent.co.jp　　URL: https://liberent.co.jp/,"",　六郷(ろくごう)・石橋,アプリ,2023-06-25 12:16:40,"",""
Bungee株式会社,https://prtimes.jp/main/html/rd/p/000000003.000120220.html,sheng.wei@bungee-inc.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社UPC,https://prtimes.jp/main/html/rd/p/000000072.000048516.html,app@upc-corp.jp,"",三原/齋藤,アプリ,2023-06-25 12:16:40,"",""
株式会社 ファイターズ スポーツ＆エンターテイメント,https://prtimes.jp/main/html/rd/p/000000096.000079562.html,fse_pr@fighters.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
ecbo株式会社,https://prtimes.jp/main/html/rd/p/000000140.000021088.html,pr@ecbo.io,03-4405-8929,"",アプリ,2023-06-25 12:16:40,"",""
株式会社ツインプラネット,https://prtimes.jp/main/html/rd/p/000000484.000025517.html,pr@twinplanet.co.jp,03-5766-3811,太田　小山　   営業担当：小平,アプリ,2023-06-25 12:16:40,"",""
KLab株式会社,https://prtimes.jp/main/html/rd/p/000000712.000006348.html,pr@klab.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ぐるかい,https://prtimes.jp/main/html/rd/p/000000010.000113264.html,pr@gurukai.co.jp,03-6807-3986,"",アプリ,2023-06-25 12:16:40,"",""
株式会社ディー・エヌ・エー,https://prtimes.jp/main/html/rd/p/000000113.000013971.html,pr@dena.jp,"",塚越,アプリ,2023-06-25 12:16:40,"",""
Peatix Japan株式会社,https://prtimes.jp/main/html/rd/p/000000024.000058728.html,press@peatix.com,03-6805-1730,滝沢、西川,アプリ,2023-06-25 12:16:40,"",""
株式会社Link Sports,https://prtimes.jp/main/html/rd/p/000000070.000016295.html,sales@linksports.co.jp,"",櫻井・堀・杉山,アプリ,2023-06-25 12:16:40,"",""
母子モ株式会社,https://prtimes.jp/main/html/rd/p/000000127.000099909.html,mtipr@mti.co.jp,03-5333-6025,"",アプリ,2023-06-25 12:16:40,"",""
株式会社 EnglishCentral,https://prtimes.jp/main/html/rd/p/000000056.000005763.html,sales-ja@englishcentral.com,050-3802-3236,　品川,アプリ,2023-06-25 12:16:40,"",""
株式会社Emposy,https://prtimes.jp/main/html/rd/p/000000002.000121749.html,info@emposy.com,072-200-2950,庄司一慶,アプリ,2023-06-25 12:16:40,"",""
PIAZZA株式会社,https://prtimes.jp/main/html/rd/p/000000110.000016981.html,info@piazza-life.com　担当：新名,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社Liquid,https://prtimes.jp/main/html/rd/p/000000140.000013861.html,japan@liquidinc.asia,03-4530-3002,"",アプリ,2023-06-25 12:16:40,"",""
株式会社The Chain Museum,https://prtimes.jp/main/html/rd/p/000000086.000038948.html,pr@t-c-m.art,"",楢崎美和（ならさきみわ）,アプリ,2023-06-25 12:16:40,"",""
株式会社しまうまプリント,https://prtimes.jp/main/html/rd/p/000000015.000061042.html,koukoku_gr@shimapri.jp,"",山田・葉・立石,アプリ,2023-06-25 12:16:40,"",""
VIE STYLE株式会社,https://prtimes.jp/main/html/rd/p/000000034.000067474.html,info@vie.style,"",楠富,アプリ,2023-06-25 12:16:40,"",""
株式会社リクルートMUFGビジネス,https://prtimes.jp/main/html/rd/p/000000005.000091387.html,yuko_kitaoka@recruitmufgbiz.co.jp,"",　貴田岡 祐子,アプリ,2023-06-25 12:16:40,"",""
株式会社　ミルウス,https://prtimes.jp/main/html/rd/p/000000021.000057464.html,info@miruws.com,090-8465-5310,南　重信,アプリ,2023-06-25 12:16:40,"",""
株式会社バカン,https://prtimes.jp/main/html/rd/p/000000296.000018933.html,contact@vacancorp.com,03-6327-5533,町田）,アプリ,2023-06-25 12:16:40,"",""
株式会社コールドクター,https://prtimes.jp/main/html/rd/p/000000028.000058359.html,press@one-inc.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
AppLovin,https://prtimes.jp/main/html/rd/p/000000034.000019867.html,　applovin@vectorinc.co.jp,"",小黒、菊地、山崎,アプリ,2023-06-25 12:16:40,"",""
三菱電機インフォメーションシステムズ株式会社,https://prtimes.jp/main/html/rd/p/000000028.000067019.html,ikumi-kenji@mdis.co.jp　Tel:03-5445-7795,03-5445-7500,"",アプリ,2023-06-25 12:16:40,"",""
株式会社ドワンゴ,https://prtimes.jp/main/html/rd/p/000000664.000056982.html,niconico-pr@dwango.co.jp,"",船江,アプリ,2023-06-25 12:16:40,"",""
株式会社アイコニック,https://prtimes.jp/main/html/rd/p/000000009.000078276.html,dentaldiary@iconic-inc.jp,03-6427-7117,井上,アプリ,2023-06-25 12:16:40,"",""
楽天ペイメント株式会社,https://prtimes.jp/main/html/rd/p/000000331.000057042.html,payment-pr-team@mail.raktuen.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社スタジオスポビー,https://prtimes.jp/main/html/rd/p/000000041.000031367.html,info@spoby.jp,03-6435-7204,"",アプリ,2023-06-25 12:16:40,"",""
コンテンツワークス株式会社,https://prtimes.jp/main/html/rd/p/000000045.000013307.html,shizuka-ha@sprkobo.jp,03-6673-5830,初山,アプリ,2023-06-25 12:16:40,"",""
REEV株式会社,https://prtimes.jp/main/html/rd/p/000000012.000083031.html,wata100514@gmail.com,"",渡部裕介,アプリ,2023-06-25 12:16:40,"",""
株式会社スペースマーケット,https://prtimes.jp/main/html/rd/p/000000261.000015560.html,pr@spacemarket.co.jp TEL：070-6461-7672,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社オルトプラス,https://prtimes.jp/main/html/rd/p/000000165.000053906.html,pr@altplus.co.jp,050-5306-8454,（経営企画室　高橋、吉田）,アプリ,2023-06-25 12:16:40,"",""
アイディアファクトリー株式会社,https://prtimes.jp/main/html/rd/p/000000331.000080401.html,if_pr@ideaf.co.jp,03-5985-6801,　三上・藤原・山田,アプリ,2023-06-25 12:16:40,"",""
株式会社サインド,https://prtimes.jp/main/html/rd/p/000000028.000070708.html,pr@cynd.co.jp,03-6277-2658,"",アプリ,2023-06-25 12:16:40,"",""
